,file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
0,cholesky_0011,0,0,0,0,1,0,0,0,1
1,nussinov_0000,0,0,0,0,0,0,1,0,1
2,2mm_0002,0,0,0,1,1,0,0,0,1
3,ludcmp_1111,0,0,0,0,0,0,0,0,1
4,ludcmp_0001,0,0,0,0,0,0,0,0,1
5,deriche_0112,0,0,0,0,0,0,1,0,1
6,trmm_0111,0,0,1,0,0,1,0,0,0
7,doitgen_0112,0,0,1,0,0,1,0,0,1
8,lu_0100,0,0,1,0,1,0,0,0,1
9,doitgen_0011,0,0,0,0,0,1,0,0,1
10,3mm_1101,0,1,0,0,0,0,0,0,1
11,lu_0011,0,0,0,0,1,0,0,0,1
12,trmm_0010,0,0,1,0,0,1,0,0,0
13,lu_0002,0,0,0,0,1,0,0,0,1
14,covariance_1111,0,1,1,0,1,1,0,0,1
15,heat-3d_0111,0,0,0,1,1,0,0,1,1
16,3mm_0112,0,0,1,1,1,0,0,0,1
17,doitgen_0010,0,0,0,0,0,1,0,0,1
18,gramschmidt_0010,0,0,0,0,0,1,0,0,0
19,adi_0102,0,0,0,0,0,0,1,0,1
20,mvt_0111,0,0,0,0,1,0,0,0,0
21,heat-3d_1112,0,1,0,1,1,0,0,1,1
22,cholesky_1000,0,1,0,0,1,0,0,0,1
23,mvt_0012,0,0,0,0,1,0,0,0,0
24,doitgen_0111,0,0,1,0,0,1,0,0,1
25,deriche_1102,0,1,0,0,0,0,0,0,1
26,2mm_0001,0,0,1,0,1,1,0,0,1
27,lu_1101,0,1,1,0,1,0,0,0,1
28,seidel-2d_1112,0,1,0,1,0,0,0,0,0
29,fdtd-2d_1010,0,1,1,1,1,0,0,1,1
30,trmm_1112,0,1,1,0,0,0,0,0,1
31,deriche_0101,0,0,0,0,0,0,1,0,1
32,2mm_1012,0,1,0,0,0,0,0,0,1
33,syr2k_0111,0,0,1,0,0,1,0,0,0
34,gemm_0110,0,0,0,0,0,1,0,0,0
35,cholesky_1010,0,1,0,0,1,0,0,0,1
36,symm_0011,0,0,0,0,1,0,0,0,1
37,symm_0002,0,0,0,0,0,0,0,0,1
38,2mm_1111,0,1,0,0,0,0,0,0,1
39,doitgen_0102,0,0,1,0,0,1,0,0,1
40,fdtd-2d_1001,0,1,1,1,1,0,0,1,1
41,gramschmidt_1011,0,1,0,0,0,0,0,0,1
42,symm_1002,0,0,0,0,0,0,0,0,1
43,lu_1001,0,1,0,0,1,0,0,0,1
44,ludcmp_1001,0,0,0,0,0,0,0,0,1
45,symm_0101,0,0,0,0,1,0,0,0,1
46,symm_1110,0,1,0,0,0,0,0,0,1
47,seidel-2d_1011,0,1,0,1,0,0,0,0,0
48,bicg_0102,0,0,1,0,1,1,0,0,1
49,durbin_0010,0,0,0,0,0,0,0,0,1
50,correlation_1010,0,1,0,0,0,1,0,0,1
51,seidel-2d_1100,0,1,0,1,0,0,0,0,0
52,deriche_0002,0,0,0,0,0,0,1,0,1
53,jacobi-1d_0112,0,0,0,1,1,0,0,1,1
54,deriche_0010,0,0,0,0,0,0,1,0,1
55,durbin_0002,0,0,0,0,0,0,0,0,1
56,3mm_0001,0,0,1,0,0,1,0,0,1
57,floyd-warshall_1110,0,1,0,0,0,0,0,0,0
58,lu_1100,0,1,1,0,1,0,0,0,1
59,lu_0010,0,0,0,0,1,0,0,0,1
60,jacobi-2d_0101,0,0,0,1,1,0,0,1,1
61,fdtd-2d_1110,0,1,1,1,1,0,0,1,1
62,bicg_1101,0,1,0,0,0,1,0,0,0
63,gesummv_1100,0,1,0,0,0,1,0,0,0
64,gemver_0101,0,0,1,0,1,0,0,0,0
65,correlation_1001,0,1,1,0,1,1,0,0,1
66,3mm_1000,0,1,0,0,0,1,0,0,0
67,deriche_1011,0,1,0,0,0,0,0,0,1
68,deriche_1000,0,1,0,0,0,0,0,0,1
69,symm_1000,0,1,0,0,0,0,0,0,1
70,gesummv_0002,0,0,0,0,0,1,0,0,0
71,syr2k_0101,0,0,1,0,0,1,0,0,0
72,gemver_1000,0,1,0,0,0,0,0,0,0
73,jacobi-1d_1012,0,1,0,1,1,0,0,1,1
74,mvt_0002,0,0,0,0,1,0,0,0,0
75,atax_1010,0,1,1,0,0,1,0,0,0
76,syr2k_0002,0,0,1,0,1,0,0,0,0
77,gemm_1000,0,1,1,0,0,1,0,0,0
78,gramschmidt_1012,0,1,0,0,0,0,0,0,1
79,bicg_0010,0,0,1,0,0,1,0,0,0
80,gramschmidt_1010,0,1,0,0,0,0,0,0,1
81,deriche_0012,0,0,0,0,0,0,1,0,1
82,doitgen_0000,0,0,0,0,0,1,0,0,1
83,deriche_1002,0,1,0,0,0,0,0,0,1
84,3mm_1100,0,1,1,0,0,1,0,0,0
85,jacobi-2d_0102,0,0,0,1,1,0,0,1,1
86,trisolv_0000,0,0,0,0,1,1,0,0,1
87,seidel-2d_1000,0,1,0,1,0,0,0,0,0
88,doitgen_1002,0,1,0,0,0,1,0,0,1
89,cholesky_1110,0,1,0,0,1,0,0,0,1
90,gesummv_0111,0,0,0,0,0,1,0,0,0
91,covariance_1001,0,1,0,0,1,1,0,0,1
92,gemm_0012,0,0,1,0,1,0,0,0,0
93,ludcmp_0112,0,0,0,0,0,0,0,0,1
94,covariance_1000,0,1,0,0,0,1,0,0,1
95,gemver_1111,0,1,1,0,1,0,0,0,0
96,atax_0111,0,0,0,0,0,1,0,0,0
97,symm_1101,0,0,0,0,1,0,0,0,1
98,floyd-warshall_1010,0,1,0,0,0,0,0,0,0
99,jacobi-2d_1010,0,1,0,1,1,0,0,1,1
100,bicg_0011,0,0,1,0,0,1,0,0,0
101,trisolv_1111,0,1,0,0,1,1,0,0,1
102,covariance_1010,0,1,0,0,0,1,0,0,1
103,heat-3d_0112,0,0,0,1,1,0,0,1,1
104,2mm_1110,0,1,1,0,0,1,0,0,0
105,seidel-2d_1002,0,1,0,1,0,0,0,0,0
